Strings to Match,Chapter of Origin,Matches,Score (lower is better)
Elizabeth made no answer.,chapter_32,He made no answer.,0.2928932188134523
But that is not the case _here_.,chapter_32,"If this be the case, he deserves you.",0.42264973081037416
said she.,chapter_33,said she.,0.0
"""Oh!",chapter_33,"""Oh!",0.0
You know I have.,chapter_34,"""I do not know.",0.0
They were natural and just.,chapter_34,But now it was all too natural.,0.0
How he lived I know not.,chapter_35,You know I have.,0.42264973081037416
"""FITZWILLIAM DARCY""",chapter_35,"Darcy.""",0.42264973081037416
This cannot be!,chapter_36,it cannot be.,0.0
"she cried; ""I, who have prided myself on my discernment!",chapter_36,she cried.,0.5917517095361369
"""Oh!",chapter_37,"""Oh!",0.0
Your uncle!,chapter_37,"My uncle!""",0.0
"""Good gracious!""",chapter_38,"""Good gracious!",-2.220446049250313e-16
You see on what a footing we are.,chapter_38,"Did you see it?""",0.42264973081037416
Good Heaven!,chapter_39,"""Good Heaven!",-2.220446049250313e-16
"""Oh!",chapter_39,"""Oh!",0.0
"Oh, no.""",chapter_40,"""Oh!",0.0
Oh!,chapter_40,"""Oh!",0.0
said Elizabeth.,chapter_41,said Elizabeth.,-2.220446049250313e-16
"""Good Heaven!",chapter_41,Good Heaven!,-2.220446049250313e-16
"To Pemberley, therefore, they were to go.",chapter_42,"They were, therefore, to go.",0.2928932188134523
what was the name of its proprietor?,chapter_42,"""What is his name?""",0.42264973081037416
Oh!,chapter_43,"""Oh!",0.0
"""Oh!",chapter_43,"""Oh!",0.0
"They were, therefore, to go.",chapter_44,"To Pemberley, therefore, they were to go.",0.2928932188134523
She certainly did not hate him.,chapter_44,"""Hate you!",0.42264973081037416
"In this house they were received by Miss Darcy, who was sitting there with Mrs. Hurst and Miss Bingley, and the lady with whom she lived in London.",chapter_45,"She is a very great favourite with some ladies of my acquaintance, Mrs. Hurst and Miss Bingley.",0.6747781822060045
"They must be a great loss to _your_ family.""",chapter_45,"Has she any family?""",0.683772233983162
"""Oh, yes!",chapter_46,"""Oh, yes!",-2.220446049250313e-16
"""Oh, yes.",chapter_46,"""Oh, yes!",-2.220446049250313e-16
cried Elizabeth when she had finished it.,chapter_47,"cried Elizabeth, when she had finished.",-2.220446049250313e-16
cried Elizabeth.,chapter_47,cried Elizabeth.,-2.220446049250313e-16
"""MY DEAR SIR,",chapter_48,"""Dear Sir,--",-2.220446049250313e-16
she cried.,chapter_48,she cried.,0.0
Heaven forbid!,chapter_49,"""Heaven forbid!",-2.220446049250313e-16
"cried Elizabeth, when she had finished.",chapter_49,cried Elizabeth when she had finished it.,-2.220446049250313e-16
"GARDINER.""",chapter_50,"GARDINER.""",0.0
Mrs. Bennet could hardly comprehend it.,chapter_50,Mrs. Bennet could hardly contain herself.,0.2857142857142857
Good gracious!,chapter_51,"""Good gracious!",-2.220446049250313e-16
"""Oh, lord!",chapter_51,"""Oh, lord!",-2.220446049250313e-16
"""Very much.""",chapter_52,"""Very, very much.",0.0
"""And what did she say?""",chapter_52,What does he say?,0.0
Thank Heaven!,chapter_53,Thank Heaven!,-2.220446049250313e-16
"""Oh, lord!",chapter_53,"""Oh, lord!",-2.220446049250313e-16
She did indeed.,chapter_54,"""Indeed I had.",0.0
"I will think no more about him.""",chapter_54,"""I think she will.",0.0
I knew how it would be.,chapter_55,I knew how it would be.,-2.220446049250313e-16
"""Oh!",chapter_55,"""Oh!",0.0
"""Yes, very well.",chapter_56,"Yes, she will do for him very well.",-2.220446049250313e-16
"No, never.",chapter_56,"This will never do.""",0.0
"But it is so strange!""",chapter_57,"""How strange!""",0.0
"""Oh!""",chapter_57,"""Oh!",0.0
said Elizabeth.,chapter_58,said Elizabeth to herself.,-2.220446049250313e-16
"""Oh!",chapter_58,"""Oh!",0.0
"""Good Heaven!",chapter_59,Good Heaven!,-2.220446049250313e-16
"""Oh, yes!",chapter_59,"""Oh, yes!",-2.220446049250313e-16
"""DEAR SIR,",chapter_60,"""Dear Sir,--",-2.220446049250313e-16
"""Dearest Jane!",chapter_60,"""My dear Jane!""",-2.220446049250313e-16
"""MY DEAR LIZZY,",chapter_61,"""MY DEAREST LIZZY,--",-2.220446049250313e-16
"""Yours, etc.""",chapter_61,"Yours, etc.,",0.0
