"--I heard you were round, said Blazes Boylan.",i heard you were round said blazes boylan
"Bald Pat, bothered waiter, waited for drink orders. Power for Richie. And Bloom? Let me see. Not make him walk twice. His corns. Four now. How warm this black is. Course nerves a bit. Refracts (is it?) heat. Let me see. Cider. Yes, bottle of cider.",bald pat bothered waiter waited for drink orders power for richie and bloom let me see not make him walk twice his corns four now how warm this black is course nerves a bit refracts is it heat let me see cider yes bottle of cider
"--What's that? Mr Dedalus said. I was only vamping, man.",whats that mr dedalus said i was only vamping man
"--Come on, come on, Ben Dollard called. Begone dull care. Come, Bob.",come on come on ben dollard called begone dull care come bob
"He ambled Dollard, bulky slops, before them (hold that fellow with the: hold him now) into the saloon. He plumped him Dollard on the stool. His gouty paws plumped chords. Plumped, stopped abrupt.",he ambled dollard bulky slops before them hold that fellow with the hold him now into the saloon he plumped him dollard on the stool his gouty paws plumped chords plumped stopped abrupt
"Bald Pat in the doorway met tealess gold returning. Bothered, he wanted Power and cider. Bronze by the window, watched, bronze from afar.",bald pat in the doorway met tealess gold returning bothered he wanted power and cider bronze by the window watched bronze from afar
Jingle a tinkle jaunted.,jingle a tinkle jaunted
"Bloom heard a jing, a little sound. He's off. Light sob of breath Bloom sighed on the silent bluehued flowers. Jingling. He's gone. Jingle. Hear.",bloom heard a jing a little sound hes off light sob of breath bloom sighed on the silent bluehued flowers jingling hes gone jingle hear
"--Love and War, Ben, Mr Dedalus said. God be with old times.",love and war ben mr dedalus said god be with old times
"Miss Douce's brave eyes, unregarded, turned from the crossblind, smitten by sunlight. Gone. Pensive (who knows?), smitten (the smiting light), she lowered the dropblind with a sliding cord. She drew down pensive (why did he go so quick when I?) about her bronze, over the bar where bald stood by sister gold, inexquisite contrast, contrast inexquisite nonexquisite, slow cool dim seagreen sliding depth of shadow, _eau de Nil._",miss douces brave eyes unregarded turned from the crossblind smitten by sunlight gone pensive who knows smitten the smiting light she lowered the dropblind with a sliding cord she drew down pensive why did he go so quick when i about her bronze over the bar where bald stood by sister gold inexquisite contrast contrast inexquisite nonexquisite slow cool dim seagreen sliding depth of shadow eau de nil
"--Poor old Goodwin was the pianist that night, Father Cowley reminded them. There was a slight difference of opinion between himself and the Collard grand.",poor old goodwin was the pianist that night father cowley reminded them there was a slight difference of opinion between himself and the collard grand
There was.,there was
"--A symposium all his own, Mr Dedalus said. The devil wouldn't stop him. He was a crotchety old fellow in the primary stage of drink.",a symposium all his own mr dedalus said the devil wouldnt stop him he was a crotchety old fellow in the primary stage of drink
"--God, do you remember? Ben bulky Dollard said, turning from the punished keyboard. And by Japers I had no wedding garment.",god do you remember ben bulky dollard said turning from the punished keyboard and by japers i had no wedding garment
They laughed all three. He had no wed. All trio laughed. No wedding garment.,they laughed all three he had no wed all trio laughed no wedding garment
"--Our friend Bloom turned in handy that night, Mr Dedalus said. Where's my pipe, by the way?",our friend bloom turned in handy that night mr dedalus said wheres my pipe by the way
"He wandered back to the bar to the lost chord pipe. Bald Pat carried two diners' drinks, Richie and Poldy. And Father Cowley laughed again.",he wandered back to the bar to the lost chord pipe bald pat carried two diners drinks richie and poldy and father cowley laughed again
"--I saved the situation, Ben, I think.",i saved the situation ben i think
"--You did, averred Ben Dollard. I remember those tight trousers too. That was a brilliant idea, Bob.",you did averred ben dollard i remember those tight trousers too that was a brilliant idea bob
Father Cowley blushed to his brilliant purply lobes. He saved the situa. Tight trou. Brilliant ide.,father cowley blushed to his brilliant purply lobes he saved the situa tight trou brilliant ide
"--I knew he was on the rocks, he said. The wife was playing the piano in the coffee palace on Saturdays for a very trifling consideration and who was it gave me the wheeze she was doing the other business? Do you remember? We had to search all Holles street to find them till the chap in Keogh's gave us the number. Remember? Ben remembered, his broad visage wondering.",i knew he was on the rocks he said the wife was playing the piano in the coffee palace on saturdays for a very trifling consideration and who was it gave me the wheeze she was doing the other business do you remember we had to search all holles street to find them till the chap in keoghs gave us the number remember ben remembered his broad visage wondering
"--By God, she had some luxurious operacloaks and things there.",by god she had some luxurious operacloaks and things there
"Mr Dedalus wandered back, pipe in hand.",mr dedalus wandered back pipe in hand
"--Merrion square style. Balldresses, by God, and court dresses. He wouldn't take any money either. What? Any God's quantity of cocked hats and boleros and trunkhose. What?",merrion square style balldresses by god and court dresses he wouldnt take any money either what any gods quantity of cocked hats and boleros and trunkhose what
"--Ay, ay, Mr Dedalus nodded. Mrs Marion Bloom has left off clothes of all descriptions.",ay ay mr dedalus nodded mrs marion bloom has left off clothes of all descriptions
Jingle jaunted down the quays. Blazes sprawled on bounding tyres.,jingle jaunted down the quays blazes sprawled on bounding tyres
"Liver and bacon. Steak and kidney pie. Right, sir. Right, Pat.",liver and bacon steak and kidney pie right sir right pat
Mrs Marion. Met him pike hoses. Smell of burn. Of Paul de Kock. Nice name he.,mrs marion met him pike hoses smell of burn of paul de kock nice name he
--What's this her name was? A buxom lassy. Marion...,whats this her name was a buxom lassy marion
--Tweedy.,tweedy
--Yes. Is she alive?,yes is she alive
--And kicking.,and kicking
--She was a daughter of...,she was a daughter of
--Daughter of the regiment.,daughter of the regiment
"--Yes, begad. I remember the old drummajor.",yes begad i remember the old drummajor
"Mr Dedalus struck, whizzed, lit, puffed savoury puff after",mr dedalus struck whizzed lit puffed savoury puff after
"--Irish? I don't know, faith. Is she, Simon?",irish i dont know faith is she simon
"Puff after stiff, a puff, strong, savoury, crackling.",puff after stiff a puff strong savoury crackling
"--Buccinator muscle is... What?... Bit rusty... O, she is... My Irish Molly, O.",buccinator muscle is what bit rusty o she is my irish molly o
He puffed a pungent plumy blast.,he puffed a pungent plumy blast
--From the rock of Gibraltar... all the way.,from the rock of gibraltar all the way
"They pined in depth of ocean shadow, gold by the beerpull, bronze by maraschino, thoughtful all two. Mina Kennedy, 4 Lismore terrace, Drumcondra with Idolores, a queen, Dolores, silent.",they pined in depth of ocean shadow gold by the beerpull bronze by maraschino thoughtful all two mina kennedy 4 lismore terrace drumcondra with idolores a queen dolores silent
"Pat served, uncovered dishes. Leopold cut liverslices. As said before he ate with relish the inner organs, nutty gizzards, fried cods' roes while Richie Goulding, Collis, Ward ate steak and kidney, steak then kidney, bite by bite of pie he ate Bloom ate they ate.",pat served uncovered dishes leopold cut liverslices as said before he ate with relish the inner organs nutty gizzards fried cods roes while richie goulding collis ward ate steak and kidney steak then kidney bite by bite of pie he ate bloom ate they ate
"Bloom with Goulding, married in silence, ate. Dinners fit for princes.",bloom with goulding married in silence ate dinners fit for princes
"By Bachelor's walk jogjaunty jingled Blazes Boylan, bachelor, in sun in heat, mare's glossy rump atrot, with flick of whip, on bounding tyres: sprawled, warmseated, Boylan impatience, ardentbold. Horn. Have you the? Horn. Have you the? Haw haw horn.",by bachelors walk jogjaunty jingled blazes boylan bachelor in sun in heat mares glossy rump atrot with flick of whip on bounding tyres sprawled warmseated boylan impatience ardentbold horn have you the horn have you the haw haw horn
"Over their voices Dollard bassooned attack, booming over bombarding chords:",over their voices dollard bassooned attack booming over bombarding chords
--_When love absorbs my ardent soul_...,when love absorbs my ardent soul
Roll of Bensoulbenjamin rolled to the quivery loveshivery roofpanes.,roll of bensoulbenjamin rolled to the quivery loveshivery roofpanes
--War! War! cried Father Cowley. You're the warrior.,war war cried father cowley youre the warrior
"--So I am, Ben Warrior laughed. I was thinking of your landlord. Love or money.",so i am ben warrior laughed i was thinking of your landlord love or money
"He stopped. He wagged huge beard, huge face over his blunder huge.",he stopped he wagged huge beard huge face over his blunder huge
"--Sure, you'd burst the tympanum of her ear, man, Mr Dedalus said through smoke aroma, with an organ like yours.",sure youd burst the tympanum of her ear man mr dedalus said through smoke aroma with an organ like yours
In bearded abundant laughter Dollard shook upon the keyboard. He would.,in bearded abundant laughter dollard shook upon the keyboard he would
"--Not to mention another membrane, Father Cowley added. Half time, Ben. _Amoroso ma non troppo._ Let me there.",not to mention another membrane father cowley added half time ben amoroso ma non troppo let me there
"Miss Kennedy served two gentlemen with tankards of cool stout. She passed a remark. It was indeed, first gentleman said, beautiful weather. They drank cool stout. Did she know where the lord lieutenant was going? And heard steelhoofs ringhoof ring. No, she couldn't say. But it would be in the paper. O, she need not trouble. No trouble. She waved about her outspread _Independent,_ searching, the lord lieutenant, her pinnacles of hair slowmoving, lord lieuten. Too much trouble, first gentleman said. O, not in the least. Way he looked that. Lord lieutenant. Gold by bronze heard iron steel.",miss kennedy served two gentlemen with tankards of cool stout she passed a remark it was indeed first gentleman said beautiful weather they drank cool stout did she know where the lord lieutenant was going and heard steelhoofs ringhoof ring no she couldnt say but it would be in the paper o she need not trouble no trouble she waved about her outspread independent searching the lord lieutenant her pinnacles of hair slowmoving lord lieuten too much trouble first gentleman said o not in the least way he looked that lord lieutenant gold by bronze heard iron steel
     --............ _my ardent soul_      _I care not foror the morrow._,  my ardent soul i care not foror the morrow
"In liver gravy Bloom mashed mashed potatoes. Love and War someone is. Ben Dollard's famous. Night he ran round to us to borrow a dress suit for that concert. Trousers tight as a drum on him. Musical porkers. Molly did laugh when he went out. Threw herself back across the bed, screaming, kicking. With all his belongings on show. O saints above, I'm drenched! O, the women in the front row! O, I never laughed so many! Well, of course that's what gives him the base barreltone. For instance eunuchs. Wonder who's playing. Nice touch. Must be Cowley. Musical. Knows whatever note you play. Bad breath he has, poor chap. Stopped.",in liver gravy bloom mashed mashed potatoes love and war someone is ben dollards famous night he ran round to us to borrow a dress suit for that concert trousers tight as a drum on him musical porkers molly did laugh when he went out threw herself back across the bed screaming kicking with all his belongings on show o saints above im drenched o the women in the front row o i never laughed so many well of course thats what gives him the base barreltone for instance eunuchs wonder whos playing nice touch must be cowley musical knows whatever note you play bad breath he has poor chap stopped
"Miss Douce, engaging, Lydia Douce, bowed to suave solicitor, George Lidwell, gentleman, entering. Good afternoon. She gave her moist (a lady's) hand to his firm clasp. Afternoon. Yes, she was back. To the old dingdong again.",miss douce engaging lydia douce bowed to suave solicitor george lidwell gentleman entering good afternoon she gave her moist a ladys hand to his firm clasp afternoon yes she was back to the old dingdong again
"--Your friends are inside, Mr Lidwell.",your friends are inside mr lidwell
"George Lidwell, suave, solicited, held a lydiahand.",george lidwell suave solicited held a lydiahand
"Bloom ate liv as said before. Clean here at least. That chap in the Burton, gummy with gristle. No-one here: Goulding and I. Clean tables, flowers, mitres of napkins. Pat to and fro. Bald Pat. Nothing to do. Best value in Dub.",bloom ate liv as said before clean here at least that chap in the burton gummy with gristle noone here goulding and i clean tables flowers mitres of napkins pat to and fro bald pat nothing to do best value in dub
"Piano again. Cowley it is. Way he sits in to it, like one together, mutual understanding. Tiresome shapers scraping fiddles, eye on the bowend, sawing the cello, remind you of toothache. Her high long snore. Night we were in the box. Trombone under blowing like a grampus, between the acts, other brass chap unscrewing, emptying spittle. Conductor's legs too, bagstrousers, jiggedy jiggedy. Do right to hide them.",piano again cowley it is way he sits in to it like one together mutual understanding tiresome shapers scraping fiddles eye on the bowend sawing the cello remind you of toothache her high long snore night we were in the box trombone under blowing like a grampus between the acts other brass chap unscrewing emptying spittle conductors legs too bagstrousers jiggedy jiggedy do right to hide them
Jiggedy jingle jaunty jaunty.,jiggedy jingle jaunty jaunty
"Only the harp. Lovely. Gold glowering light. Girl touched it. Poop of a lovely. Gravy's rather good fit for a. Golden ship. Erin. The harp that once or twice. Cool hands. Ben Howth, the rhododendrons. We are their harps. I. He. Old. Young.",only the harp lovely gold glowering light girl touched it poop of a lovely gravys rather good fit for a golden ship erin the harp that once or twice cool hands ben howth the rhododendrons we are their harps i he old young
"--Ah, I couldn't, man, Mr Dedalus said, shy, listless.",ah i couldnt man mr dedalus said shy listless
Strongly.,strongly
"--Go on, blast you! Ben Dollard growled. Get it out in bits.",go on blast you ben dollard growled get it out in bits
"--_M'appari,_ Simon, Father Cowley said.",mappari simon father cowley said
"Down stage he strode some paces, grave, tall in affliction, his long arms outheld. Hoarsely the apple of his throat hoarsed softly. Softly he sang to a dusty seascape there: _A Last Farewell._ A headland, a ship, a sail upon the billows. Farewell. A lovely girl, her veil awave upon the wind upon the headland, wind around her.",down stage he strode some paces grave tall in affliction his long arms outheld hoarsely the apple of his throat hoarsed softly softly he sang to a dusty seascape there a last farewell a headland a ship a sail upon the billows farewell a lovely girl her veil awave upon the wind upon the headland wind around her
Cowley sang:,cowley sang
     _--M'appari tutt'amor:      Il mio sguardo l'incontr..._, mappari tuttamor il mio sguardo lincontr
"She waved, unhearing Cowley, her veil, to one departing, dear one, to wind, love, speeding sail, return.",she waved unhearing cowley her veil to one departing dear one to wind love speeding sail return
"--Go on, Simon.",go on simon
"--Ah, sure, my dancing days are done, Ben... Well...",ah sure my dancing days are done ben well
"Mr Dedalus laid his pipe to rest beside the tuningfork and, sitting, touched the obedient keys.",mr dedalus laid his pipe to rest beside the tuningfork and sitting touched the obedient keys
"--No, Simon, Father Cowley turned. Play it in the original. One flat.",no simon father cowley turned play it in the original one flat
"The keys, obedient, rose higher, told, faltered, confessed, confused.",the keys obedient rose higher told faltered confessed confused
Up stage strode Father Cowley.,up stage strode father cowley
"--Here, Simon, I'll accompany you, he said. Get up.",here simon ill accompany you he said get up
"By Graham Lemon's pineapple rock, by Elvery's elephant jingly jogged. Steak, kidney, liver, mashed, at meat fit for princes sat princes Bloom and Goulding. Princes at meat they raised and drank, Power and cider.",by graham lemons pineapple rock by elverys elephant jingly jogged steak kidney liver mashed at meat fit for princes sat princes bloom and goulding princes at meat they raised and drank power and cider
"Most beautiful tenor air ever written, Richie said: _Sonnambula._ He heard Joe Maas sing that one night. Ah, what M'Guckin! Yes. In his way. Choirboy style. Maas was the boy. Massboy. A lyrical tenor if you like. Never forget it. Never.",most beautiful tenor air ever written richie said sonnambula he heard joe maas sing that one night ah what mguckin yes in his way choirboy style maas was the boy massboy a lyrical tenor if you like never forget it never
"Tenderly Bloom over liverless bacon saw the tightened features strain. Backache he. Bright's bright eye. Next item on the programme. Paying the piper. Pills, pounded bread, worth a guinea a box. Stave it off awhile. Sings too: _Down among the dead men._ Appropriate. Kidney pie. Sweets to the. Not making much hand of it. Best value in. Characteristic of him. Power. Particular about his drink. Flaw in the glass, fresh Vartry water. Fecking matches from counters to save. Then squander a sovereign in dribs and drabs. And when he's wanted not a farthing. Screwed refusing to pay his fare. Curious types.",tenderly bloom over liverless bacon saw the tightened features strain backache he brights bright eye next item on the programme paying the piper pills pounded bread worth a guinea a box stave it off awhile sings too down among the dead men appropriate kidney pie sweets to the not making much hand of it best value in characteristic of him power particular about his drink flaw in the glass fresh vartry water fecking matches from counters to save then squander a sovereign in dribs and drabs and when hes wanted not a farthing screwed refusing to pay his fare curious types
Never would Richie forget that night. As long as he lived: never. In the gods of the old Royal with little Peake. And when the first note.,never would richie forget that night as long as he lived never in the gods of the old royal with little peake and when the first note
Speech paused on Richie's lips.,speech paused on richies lips
Coming out with a whopper now. Rhapsodies about damn all.,coming out with a whopper now rhapsodies about damn all
Believes his own lies. Does really. Wonderful liar. But want a good memory.,believes his own lies does really wonderful liar but want a good memory
--Which air is that? asked Leopold Bloom.,which air is that asked leopold bloom
--_All is lost now_.,all is lost now
"Richie cocked his lips apout. A low incipient note sweet banshee murmured: all. A thrush. A throstle. His breath, birdsweet, good teeth he's proud of, fluted with plaintive woe. Is lost. Rich sound. Two notes in one there. Blackbird I heard in the hawthorn valley. Taking my motives he twined and turned them. All most too new call is lost in all. Echo. How sweet the answer. How is that done? All lost now. Mournful he whistled. Fall, surrender, lost.",richie cocked his lips apout a low incipient note sweet banshee murmured all a thrush a throstle his breath birdsweet good teeth hes proud of fluted with plaintive woe is lost rich sound two notes in one there blackbird i heard in the hawthorn valley taking my motives he twined and turned them all most too new call is lost in all echo how sweet the answer how is that done all lost now mournful he whistled fall surrender lost
"Bloom bent leopold ear, turning a fringe of doyley down under the vase. Order. Yes, I remember. Lovely air. In sleep she went to him. Innocence in the moon. Brave. Don't know their danger. Still hold her back. Call name. Touch water. Jingle jaunty. Too late. She longed to go. That's why. Woman. As easy stop the sea. Yes: all is lost.",bloom bent leopold ear turning a fringe of doyley down under the vase order yes i remember lovely air in sleep she went to him innocence in the moon brave dont know their danger still hold her back call name touch water jingle jaunty too late she longed to go thats why woman as easy stop the sea yes all is lost
"--A beautiful air, said Bloom lost Leopold. I know it well.",a beautiful air said bloom lost leopold i know it well
Never in all his life had Richie Goulding.,never in all his life had richie goulding
"He knows it well too. Or he feels. Still harping on his daughter. Wise child that knows her father, Dedalus said. Me?",he knows it well too or he feels still harping on his daughter wise child that knows her father dedalus said me
Bloom askance over liverless saw. Face of the all is lost. Rollicking Richie once. Jokes old stale now. Wagging his ear. Napkinring in his eye. Now begging letters he sends his son with. Crosseyed Walter sir I did sir. Wouldn't trouble only I was expecting some money. Apologise.,bloom askance over liverless saw face of the all is lost rollicking richie once jokes old stale now wagging his ear napkinring in his eye now begging letters he sends his son with crosseyed walter sir i did sir wouldnt trouble only i was expecting some money apologise
Piano again. Sounds better than last time I heard. Tuned probably. Stopped again.,piano again sounds better than last time i heard tuned probably stopped again
Dollard and Cowley still urged the lingering singer out with it.,dollard and cowley still urged the lingering singer out with it
"--With it, Simon.",with it simon
"--It, Simon.",it simon
"--Ladies and gentlemen, I am most deeply obliged by your kind solicitations.",ladies and gentlemen i am most deeply obliged by your kind solicitations
"--It, Simon.",it simon
--I have no money but if you will lend me your attention I shall endeavour to sing to you of a heart bowed down.,i have no money but if you will lend me your attention i shall endeavour to sing to you of a heart bowed down
"By the sandwichbell in screening shadow Lydia, her bronze and rose, a lady's grace, gave and withheld: as in cool glaucous _eau de Nil_ Mina to tankards two her pinnacles of gold.",by the sandwichbell in screening shadow lydia her bronze and rose a ladys grace gave and withheld as in cool glaucous eau de nil mina to tankards two her pinnacles of gold
"The harping chords of prelude closed. A chord, longdrawn, expectant, drew a voice away.",the harping chords of prelude closed a chord longdrawn expectant drew a voice away
--_When first I saw that form endearing_...,when first i saw that form endearing
Richie turned.,richie turned
"--Si Dedalus' voice, he said.",si dedalus voice he said
"Braintipped, cheek touched with flame, they listened feeling that flow endearing flow over skin limbs human heart soul spine. Bloom signed to Pat, bald Pat is a waiter hard of hearing, to set ajar the door of the bar. The door of the bar. So. That will do. Pat, waiter, waited, waiting to hear, for he was hard of hear by the door.",braintipped cheek touched with flame they listened feeling that flow endearing flow over skin limbs human heart soul spine bloom signed to pat bald pat is a waiter hard of hearing to set ajar the door of the bar the door of the bar so that will do pat waiter waited waiting to hear for he was hard of hear by the door
--_Sorrow from me seemed to depart._,sorrow from me seemed to depart
"Through the hush of air a voice sang to them, low, not rain, not leaves in murmur, like no voice of strings or reeds or whatdoyoucallthem dulcimers touching their still ears with words, still hearts of their each his remembered lives. Good, good to hear: sorrow from them each seemed to from both depart when first they heard. When first they saw, lost Richie Poldy, mercy of beauty, heard from a person wouldn't expect it in the least, her first merciful lovesoft oftloved word.",through the hush of air a voice sang to them low not rain not leaves in murmur like no voice of strings or reeds or whatdoyoucallthem dulcimers touching their still ears with words still hearts of their each his remembered lives good good to hear sorrow from them each seemed to from both depart when first they heard when first they saw lost richie poldy mercy of beauty heard from a person wouldnt expect it in the least her first merciful lovesoft oftloved word
"Love that is singing: love's old sweet song. Bloom unwound slowly the elastic band of his packet. Love's old sweet _sonnez la_ gold. Bloom wound a skein round four forkfingers, stretched it, relaxed, and wound it round his troubled double, fourfold, in octave, gyved them fast.",love that is singing loves old sweet song bloom unwound slowly the elastic band of his packet loves old sweet sonnez la gold bloom wound a skein round four forkfingers stretched it relaxed and wound it round his troubled double fourfold in octave gyved them fast
--_Full of hope and all delighted_...,full of hope and all delighted
"Tenors get women by the score. Increase their flow. Throw flower at his feet. When will we meet? My head it simply. Jingle all delighted. He can't sing for tall hats. Your head it simply swurls. Perfumed for him. What perfume does your wife? I want to know. Jing. Stop. Knock. Last look at mirror always before she answers the door. The hall. There? How do you? I do well. There? What? Or? Phial of cachous, kissing comfits, in her satchel. Yes? Hands felt for the opulent.",tenors get women by the score increase their flow throw flower at his feet when will we meet my head it simply jingle all delighted he cant sing for tall hats your head it simply swurls perfumed for him what perfume does your wife i want to know jing stop knock last look at mirror always before she answers the door the hall there how do you i do well there what or phial of cachous kissing comfits in her satchel yes hands felt for the opulent
