"He pointed his finger in friendly jest and went over to the parapet, laughing to himself. Stephen Dedalus stepped up, followed him wearily halfway and sat down on the edge of the gunrest, watching him still as he propped his mirror on the parapet, dipped the brush in the bowl and lathered cheeks and neck.",he pointed his finger in friendly jest and went over to the parapet laughing to himself stephen dedalus stepped up followed him wearily halfway and sat down on the edge of the gunrest watching him still as he propped his mirror on the parapet dipped the brush in the bowl and lathered cheeks and neck
Buck Mulligan's gay voice went on.,buck mulligans gay voice went on
"--My name is absurd too: Malachi Mulligan, two dactyls. But it has a Hellenic ring, hasn't it? Tripping and sunny like the buck himself. We must go to Athens. Will you come if I can get the aunt to fork out twenty quid?",my name is absurd too malachi mulligan two dactyls but it has a hellenic ring hasnt it tripping and sunny like the buck himself we must go to athens will you come if i can get the aunt to fork out twenty quid
"He laid the brush aside and, laughing with delight, cried:",he laid the brush aside and laughing with delight cried
--Will he come? The jejune jesuit!,will he come the jejune jesuit
"Ceasing, he began to shave with care.",ceasing he began to shave with care
"--Tell me, Mulligan, Stephen said quietly.",tell me mulligan stephen said quietly
"--Yes, my love?",yes my love
--How long is Haines going to stay in this tower?,how long is haines going to stay in this tower
Buck Mulligan showed a shaven cheek over his right shoulder.,buck mulligan showed a shaven cheek over his right shoulder
"--God, isn't he dreadful? he said frankly. A ponderous Saxon. He thinks you're not a gentleman. God, these bloody English! Bursting with money and indigestion. Because he comes from Oxford. You know, Dedalus, you have the real Oxford manner. He can't make you out. O, my name for you is the best: Kinch, the knife-blade.",god isnt he dreadful he said frankly a ponderous saxon he thinks youre not a gentleman god these bloody english bursting with money and indigestion because he comes from oxford you know dedalus you have the real oxford manner he cant make you out o my name for you is the best kinch the knifeblade
He shaved warily over his chin.,he shaved warily over his chin
"--He was raving all night about a black panther, Stephen said. Where is his guncase?",he was raving all night about a black panther stephen said where is his guncase
--A woful lunatic! Mulligan said. Were you in a funk?,a woful lunatic mulligan said were you in a funk
"--I was, Stephen said with energy and growing fear. Out here in the dark with a man I don't know raving and moaning to himself about shooting a black panther. You saved men from drowning. I'm not a hero, however. If he stays on here I am off.",i was stephen said with energy and growing fear out here in the dark with a man i dont know raving and moaning to himself about shooting a black panther you saved men from drowning im not a hero however if he stays on here i am off
Buck Mulligan frowned at the lather on his razorblade. He hopped down from his perch and began to search his trouser pockets hastily.,buck mulligan frowned at the lather on his razorblade he hopped down from his perch and began to search his trouser pockets hastily
--Scutter! he cried thickly.,scutter he cried thickly
"He came over to the gunrest and, thrusting a hand into Stephen's upper pocket, said:",he came over to the gunrest and thrusting a hand into stephens upper pocket said
--Lend us a loan of your noserag to wipe my razor.,lend us a loan of your noserag to wipe my razor
"Stephen suffered him to pull out and hold up on show by its corner a dirty crumpled handkerchief. Buck Mulligan wiped the razorblade neatly. Then, gazing over the handkerchief, he said:",stephen suffered him to pull out and hold up on show by its corner a dirty crumpled handkerchief buck mulligan wiped the razorblade neatly then gazing over the handkerchief he said
"--The bard's noserag! A new art colour for our Irish poets: snotgreen. You can almost taste it, can't you?",the bards noserag a new art colour for our irish poets snotgreen you can almost taste it cant you
"He mounted to the parapet again and gazed out over Dublin bay, his fair oakpale hair stirring slightly.",he mounted to the parapet again and gazed out over dublin bay his fair oakpale hair stirring slightly
"--God! he said quietly. Isn't the sea what Algy calls it: a grey sweet mother? The snotgreen sea. The scrotumtightening sea. _Epi oinopa ponton_. Ah, Dedalus, the Greeks! I must teach you. You must read them in the original. _Thalatta! Thalatta_! She is our great sweet mother. Come and look.",god he said quietly isnt the sea what algy calls it a grey sweet mother the snotgreen sea the scrotumtightening sea epi oinopa ponton ah dedalus the greeks i must teach you you must read them in the original thalatta thalatta she is our great sweet mother come and look
Stephen stood up and went over to the parapet. Leaning on it he looked down on the water and on the mailboat clearing the harbourmouth of Kingstown.,stephen stood up and went over to the parapet leaning on it he looked down on the water and on the mailboat clearing the harbourmouth of kingstown
--Our mighty mother! Buck Mulligan said.,our mighty mother buck mulligan said
He turned abruptly his grey searching eyes from the sea to Stephen's face.,he turned abruptly his grey searching eyes from the sea to stephens face
"--The aunt thinks you killed your mother, he said. That's why she won't let me have anything to do with you.",the aunt thinks you killed your mother he said thats why she wont let me have anything to do with you
"--Someone killed her, Stephen said gloomily.",someone killed her stephen said gloomily
"--You could have knelt down, damn it, Kinch, when your dying mother asked you, Buck Mulligan said. I'm hyperborean as much as you. But to think of your mother begging you with her last breath to kneel down and pray for her. And you refused. There is something sinister in you...",you could have knelt down damn it kinch when your dying mother asked you buck mulligan said im hyperborean as much as you but to think of your mother begging you with her last breath to kneel down and pray for her and you refused there is something sinister in you
He broke off and lathered again lightly his farther cheek. A tolerant smile curled his lips.,he broke off and lathered again lightly his farther cheek a tolerant smile curled his lips
"--But a lovely mummer! he murmured to himself. Kinch, the loveliest mummer of them all!",but a lovely mummer he murmured to himself kinch the loveliest mummer of them all
"He shaved evenly and with care, in silence, seriously.",he shaved evenly and with care in silence seriously
"Stephen, an elbow rested on the jagged granite, leaned his palm against his brow and gazed at the fraying edge of his shiny black coat-sleeve. Pain, that was not yet the pain of love, fretted his heart. Silently, in a dream she had come to him after her death, her wasted body within its loose brown graveclothes giving off an odour of wax and rosewood, her breath, that had bent upon him, mute, reproachful, a faint odour of wetted ashes. Across the threadbare cuffedge he saw the sea hailed as a great sweet mother by the wellfed voice beside him. The ring of bay and skyline held a dull green mass of liquid. A bowl of white china had stood beside her deathbed holding the green sluggish bile which she had torn up from her rotting liver by fits of loud groaning vomiting.",stephen an elbow rested on the jagged granite leaned his palm against his brow and gazed at the fraying edge of his shiny black coatsleeve pain that was not yet the pain of love fretted his heart silently in a dream she had come to him after her death her wasted body within its loose brown graveclothes giving off an odour of wax and rosewood her breath that had bent upon him mute reproachful a faint odour of wetted ashes across the threadbare cuffedge he saw the sea hailed as a great sweet mother by the wellfed voice beside him the ring of bay and skyline held a dull green mass of liquid a bowl of white china had stood beside her deathbed holding the green sluggish bile which she had torn up from her rotting liver by fits of loud groaning vomiting
Buck Mulligan wiped again his razorblade.,buck mulligan wiped again his razorblade
"--Ah, poor dogsbody! he said in a kind voice. I must give you a shirt and a few noserags. How are the secondhand breeks?",ah poor dogsbody he said in a kind voice i must give you a shirt and a few noserags how are the secondhand breeks
"--They fit well enough, Stephen answered.",they fit well enough stephen answered
Buck Mulligan attacked the hollow beneath his underlip.,buck mulligan attacked the hollow beneath his underlip
"--The mockery of it, he said contentedly. Secondleg they should be. God knows what poxy bowsy left them off. I have a lovely pair with a hair stripe, grey. You'll look spiffing in them. I'm not joking, Kinch. You look damn well when you're dressed.",the mockery of it he said contentedly secondleg they should be god knows what poxy bowsy left them off i have a lovely pair with a hair stripe grey youll look spiffing in them im not joking kinch you look damn well when youre dressed
"--Thanks, Stephen said. I can't wear them if they are grey.",thanks stephen said i cant wear them if they are grey
"--He can't wear them, Buck Mulligan told his face in the mirror. Etiquette is etiquette. He kills his mother but he can't wear grey trousers.",he cant wear them buck mulligan told his face in the mirror etiquette is etiquette he kills his mother but he cant wear grey trousers
He folded his razor neatly and with stroking palps of fingers felt the smooth skin.,he folded his razor neatly and with stroking palps of fingers felt the smooth skin
Stephen turned his gaze from the sea and to the plump face with its smokeblue mobile eyes.,stephen turned his gaze from the sea and to the plump face with its smokeblue mobile eyes
"--That fellow I was with in the Ship last night, said Buck Mulligan, says you have g.p.i. He's up in Dottyville with Connolly Norman. General paralysis of the insane!",that fellow i was with in the ship last night said buck mulligan says you have gpi hes up in dottyville with connolly norman general paralysis of the insane
He swept the mirror a half circle in the air to flash the tidings abroad in sunlight now radiant on the sea. His curling shaven lips laughed and the edges of his white glittering teeth. Laughter seized all his strong wellknit trunk.,he swept the mirror a half circle in the air to flash the tidings abroad in sunlight now radiant on the sea his curling shaven lips laughed and the edges of his white glittering teeth laughter seized all his strong wellknit trunk
"--Look at yourself, he said, you dreadful bard!",look at yourself he said you dreadful bard
"Stephen bent forward and peered at the mirror held out to him, cleft by a crooked crack. Hair on end. As he and others see me. Who chose this face for me? This dogsbody to rid of vermin. It asks me too.",stephen bent forward and peered at the mirror held out to him cleft by a crooked crack hair on end as he and others see me who chose this face for me this dogsbody to rid of vermin it asks me too
"--I pinched it out of the skivvy's room, Buck Mulligan said. It does her all right. The aunt always keeps plainlooking servants for Malachi. Lead him not into temptation. And her name is Ursula.",i pinched it out of the skivvys room buck mulligan said it does her all right the aunt always keeps plainlooking servants for malachi lead him not into temptation and her name is ursula
"Laughing again, he brought the mirror away from Stephen's peering eyes.",laughing again he brought the mirror away from stephens peering eyes
"--The rage of Caliban at not seeing his face in a mirror, he said. If Wilde were only alive to see you!",the rage of caliban at not seeing his face in a mirror he said if wilde were only alive to see you
"Drawing back and pointing, Stephen said with bitterness:",drawing back and pointing stephen said with bitterness
--It is a symbol of Irish art. The cracked looking-glass of a servant.,it is a symbol of irish art the cracked lookingglass of a servant
"Buck Mulligan suddenly linked his arm in Stephen's and walked with him round the tower, his razor and mirror clacking in the pocket where he had thrust them.",buck mulligan suddenly linked his arm in stephens and walked with him round the tower his razor and mirror clacking in the pocket where he had thrust them
"--It's not fair to tease you like that, Kinch, is it? he said kindly. God knows you have more spirit than any of them.",its not fair to tease you like that kinch is it he said kindly god knows you have more spirit than any of them
Parried again. He fears the lancet of my art as I fear that of his. The cold steelpen.,parried again he fears the lancet of my art as i fear that of his the cold steelpen
"--Cracked lookingglass of a servant! Tell that to the oxy chap downstairs and touch him for a guinea. He's stinking with money and thinks you're not a gentleman. His old fellow made his tin by selling jalap to Zulus or some bloody swindle or other. God, Kinch, if you and I could only work together we might do something for the island. Hellenise it.",cracked lookingglass of a servant tell that to the oxy chap downstairs and touch him for a guinea hes stinking with money and thinks youre not a gentleman his old fellow made his tin by selling jalap to zulus or some bloody swindle or other god kinch if you and i could only work together we might do something for the island hellenise it
Cranly's arm. His arm.,cranlys arm his arm
--And to think of your having to beg from these swine. I'm the only one that knows what you are. Why don't you trust me more? What have you up your nose against me? Is it Haines? If he makes any noise here I'll bring down Seymour and we'll give him a ragging worse than they gave Clive Kempthorpe.,and to think of your having to beg from these swine im the only one that knows what you are why dont you trust me more what have you up your nose against me is it haines if he makes any noise here ill bring down seymour and well give him a ragging worse than they gave clive kempthorpe
"Young shouts of moneyed voices in Clive Kempthorpe's rooms. Palefaces: they hold their ribs with laughter, one clasping another. O, I shall expire! Break the news to her gently, Aubrey! I shall die! With slit ribbons of his shirt whipping the air he hops and hobbles round the table, with trousers down at heels, chased by Ades of Magdalen with the tailor's shears. A scared calf's face gilded with marmalade. I don't want to be debagged! Don't you play the giddy ox with me!",young shouts of moneyed voices in clive kempthorpes rooms palefaces they hold their ribs with laughter one clasping another o i shall expire break the news to her gently aubrey i shall die with slit ribbons of his shirt whipping the air he hops and hobbles round the table with trousers down at heels chased by ades of magdalen with the tailors shears a scared calfs face gilded with marmalade i dont want to be debagged dont you play the giddy ox with me
"Shouts from the open window startling evening in the quadrangle. A deaf gardener, aproned, masked with Matthew Arnold's face, pushes his mower on the sombre lawn watching narrowly the dancing motes of grasshalms.",shouts from the open window startling evening in the quadrangle a deaf gardener aproned masked with matthew arnolds face pushes his mower on the sombre lawn watching narrowly the dancing motes of grasshalms
To ourselves... new paganism... omphalos.,to ourselves new paganism omphalos
"--Let him stay, Stephen said. There's nothing wrong with him except at night.",let him stay stephen said theres nothing wrong with him except at night
--Then what is it? Buck Mulligan asked impatiently. Cough it up. I'm quite frank with you. What have you against me now?,then what is it buck mulligan asked impatiently cough it up im quite frank with you what have you against me now
"They halted, looking towards the blunt cape of Bray Head that lay on the water like the snout of a sleeping whale. Stephen freed his arm quietly.",they halted looking towards the blunt cape of bray head that lay on the water like the snout of a sleeping whale stephen freed his arm quietly
--Do you wish me to tell you? he asked.,do you wish me to tell you he asked
"--Yes, what is it? Buck Mulligan answered. I don't remember anything.",yes what is it buck mulligan answered i dont remember anything
"He looked in Stephen's face as he spoke. A light wind passed his brow, fanning softly his fair uncombed hair and stirring silver points of anxiety in his eyes.",he looked in stephens face as he spoke a light wind passed his brow fanning softly his fair uncombed hair and stirring silver points of anxiety in his eyes
"Stephen, depressed by his own voice, said:",stephen depressed by his own voice said
--Do you remember the first day I went to your house after my mother's death?,do you remember the first day i went to your house after my mothers death
Buck Mulligan frowned quickly and said:,buck mulligan frowned quickly and said
--What? Where? I can't remember anything. I remember only ideas and sensations. Why? What happened in the name of God?,what where i cant remember anything i remember only ideas and sensations why what happened in the name of god
"--You were making tea, Stephen said, and went across the landing to get more hot water. Your mother and some visitor came out of the drawingroom. She asked you who was in your room.",you were making tea stephen said and went across the landing to get more hot water your mother and some visitor came out of the drawingroom she asked you who was in your room
--Yes? Buck Mulligan said. What did I say? I forget.,yes buck mulligan said what did i say i forget
"--You said, Stephen answered, _O, it's only Dedalus whose mother is beastly dead._",you said stephen answered o its only dedalus whose mother is beastly dead
A flush which made him seem younger and more engaging rose to Buck Mulligan's cheek.,a flush which made him seem younger and more engaging rose to buck mulligans cheek
--Did I say that? he asked. Well? What harm is that?,did i say that he asked well what harm is that
He shook his constraint from him nervously.,he shook his constraint from him nervously
"--And what is death, he asked, your mother's or yours or my own? You saw only your mother die. I see them pop off every day in the Mater and Richmond and cut up into tripes in the dissectingroom. It's a beastly thing and nothing else. It simply doesn't matter. You wouldn't kneel down to pray for your mother on her deathbed when she asked you. Why? Because you have the cursed jesuit strain in you, only it's injected the wrong way. To me it's all a mockery and beastly. Her cerebral lobes are not functioning. She calls the doctor sir Peter Teazle and picks buttercups off the quilt. Humour her till it's over. You crossed her last wish in death and yet you sulk with me because I don't whinge like some hired mute from Lalouette's. Absurd! I suppose I did say it. I didn't mean to offend the memory of your mother.",and what is death he asked your mothers or yours or my own you saw only your mother die i see them pop off every day in the mater and richmond and cut up into tripes in the dissectingroom its a beastly thing and nothing else it simply doesnt matter you wouldnt kneel down to pray for your mother on her deathbed when she asked you why because you have the cursed jesuit strain in you only its injected the wrong way to me its all a mockery and beastly her cerebral lobes are not functioning she calls the doctor sir peter teazle and picks buttercups off the quilt humour her till its over you crossed her last wish in death and yet you sulk with me because i dont whinge like some hired mute from lalouettes absurd i suppose i did say it i didnt mean to offend the memory of your mother
"He had spoken himself into boldness. Stephen, shielding the gaping wounds which the words had left in his heart, said very coldly:",he had spoken himself into boldness stephen shielding the gaping wounds which the words had left in his heart said very coldly
--I am not thinking of the offence to my mother.,i am not thinking of the offence to my mother
--Of what then? Buck Mulligan asked.,of what then buck mulligan asked
"--Of the offence to me, Stephen answered.",of the offence to me stephen answered
Buck Mulligan swung round on his heel.,buck mulligan swung round on his heel
"--O, an impossible person! he exclaimed.",o an impossible person he exclaimed
"He walked off quickly round the parapet. Stephen stood at his post, gazing over the calm sea towards the headland. Sea and headland now grew dim. Pulses were beating in his eyes, veiling their sight, and he felt the fever of his cheeks.",he walked off quickly round the parapet stephen stood at his post gazing over the calm sea towards the headland sea and headland now grew dim pulses were beating in his eyes veiling their sight and he felt the fever of his cheeks
A voice within the tower called loudly:,a voice within the tower called loudly
"--Are you up there, Mulligan?",are you up there mulligan
"--I'm coming, Buck Mulligan answered.",im coming buck mulligan answered
He turned towards Stephen and said:,he turned towards stephen and said
"--Look at the sea. What does it care about offences? Chuck Loyola, Kinch, and come on down. The Sassenach wants his morning rashers.",look at the sea what does it care about offences chuck loyola kinch and come on down the sassenach wants his morning rashers
"His head halted again for a moment at the top of the staircase, level with the roof:",his head halted again for a moment at the top of the staircase level with the roof
"--Don't mope over it all day, he said. I'm inconsequent. Give up the moody brooding.",dont mope over it all day he said im inconsequent give up the moody brooding
His head vanished but the drone of his descending voice boomed out of the stairhead:,his head vanished but the drone of his descending voice boomed out of the stairhead
     _And no more turn aside and brood      Upon love's bitter mystery      For Fergus rules the brazen cars._, and no more turn aside and brood upon loves bitter mystery for fergus rules the brazen cars
" Woodshadows floated silently by through the morning peace from the stairhead seaward where he gazed. Inshore and farther out the mirror of water whitened, spurned by lightshod hurrying feet. White breast of the dim sea. The twining stresses, two by two. A hand plucking the harpstrings, merging their twining chords. Wavewhite wedded words shimmering on the dim tide.", woodshadows floated silently by through the morning peace from the stairhead seaward where he gazed inshore and farther out the mirror of water whitened spurned by lightshod hurrying feet white breast of the dim sea the twining stresses two by two a hand plucking the harpstrings merging their twining chords wavewhite wedded words shimmering on the dim tide
"A cloud began to cover the sun slowly, wholly, shadowing the bay in deeper green. It lay beneath him, a bowl of bitter waters. Fergus' song: I sang it alone in the house, holding down the long dark chords. Her door was open: she wanted to hear my music. Silent with awe and pity I went to her bedside. She was crying in her wretched bed. For those words, Stephen: love's bitter mystery.",a cloud began to cover the sun slowly wholly shadowing the bay in deeper green it lay beneath him a bowl of bitter waters fergus song i sang it alone in the house holding down the long dark chords her door was open she wanted to hear my music silent with awe and pity i went to her bedside she was crying in her wretched bed for those words stephen loves bitter mystery
Where now?,where now
"Her secrets: old featherfans, tasselled dancecards, powdered with musk, a gaud of amber beads in her locked drawer. A birdcage hung in the sunny window of her house when she was a girl. She heard old Royce sing in the pantomime of Turko the Terrible and laughed with others when he sang:",her secrets old featherfans tasselled dancecards powdered with musk a gaud of amber beads in her locked drawer a birdcage hung in the sunny window of her house when she was a girl she heard old royce sing in the pantomime of turko the terrible and laughed with others when he sang
     _I am the boy      That can enjoy      Invisibility._, i am the boy that can enjoy invisibility
" Phantasmal mirth, folded away: muskperfumed.", phantasmal mirth folded away muskperfumed
_And no more turn aside and brood._,and no more turn aside and brood
" Folded away in the memory of nature with her toys. Memories beset his brooding brain. Her glass of water from the kitchen tap when she had approached the sacrament. A cored apple, filled with brown sugar, roasting for her at the hob on a dark autumn evening. Her shapely fingernails reddened by the blood of squashed lice from the children's shirts.", folded away in the memory of nature with her toys memories beset his brooding brain her glass of water from the kitchen tap when she had approached the sacrament a cored apple filled with brown sugar roasting for her at the hob on a dark autumn evening her shapely fingernails reddened by the blood of squashed lice from the childrens shirts
"In a dream, silently, she had come to him, her wasted body within its loose graveclothes giving off an odour of wax and rosewood, her breath, bent over him with mute secret words, a faint odour of wetted ashes.",in a dream silently she had come to him her wasted body within its loose graveclothes giving off an odour of wax and rosewood her breath bent over him with mute secret words a faint odour of wetted ashes
"Her glazing eyes, staring out of death, to shake and bend my soul. On me alone. The ghostcandle to light her agony. Ghostly light on the tortured face. Her hoarse loud breath rattling in horror, while all prayed on their knees. Her eyes on me to strike me down. _Liliata rutilantium te confessorum turma circumdet: iubilantium te virginum chorus excipiat._",her glazing eyes staring out of death to shake and bend my soul on me alone the ghostcandle to light her agony ghostly light on the tortured face her hoarse loud breath rattling in horror while all prayed on their knees her eyes on me to strike me down liliata rutilantium te confessorum turma circumdet iubilantium te virginum chorus excipiat
Ghoul! Chewer of corpses!,ghoul chewer of corpses
"No, mother! Let me be and let me live.",no mother let me be and let me live
--Kinch ahoy!,kinch ahoy
"Buck Mulligan's voice sang from within the tower. It came nearer up the staircase, calling again. Stephen, still trembling at his soul's cry, heard warm running sunlight and in the air behind him friendly words.",buck mulligans voice sang from within the tower it came nearer up the staircase calling again stephen still trembling at his souls cry heard warm running sunlight and in the air behind him friendly words
"--Dedalus, come down, like a good mosey. Breakfast is ready. Haines is apologising for waking us last night. It's all right.",dedalus come down like a good mosey breakfast is ready haines is apologising for waking us last night its all right
"--I'm coming, Stephen said, turning.",im coming stephen said turning
"--Do, for Jesus' sake, Buck Mulligan said. For my sake and for all our sakes.",do for jesus sake buck mulligan said for my sake and for all our sakes
His head disappeared and reappeared.,his head disappeared and reappeared
"--I told him your symbol of Irish art. He says it's very clever. Touch him for a quid, will you? A guinea, I mean.",i told him your symbol of irish art he says its very clever touch him for a quid will you a guinea i mean
"--I get paid this morning, Stephen said.",i get paid this morning stephen said
--The school kip? Buck Mulligan said. How much? Four quid? Lend us one.,the school kip buck mulligan said how much four quid lend us one
"--If you want it, Stephen said.",if you want it stephen said
"--Four shining sovereigns, Buck Mulligan cried with delight. We'll have a glorious drunk to astonish the druidy druids. Four omnipotent sovereigns.",four shining sovereigns buck mulligan cried with delight well have a glorious drunk to astonish the druidy druids four omnipotent sovereigns
"He flung up his hands and tramped down the stone stairs, singing out of tune with a Cockney accent:",he flung up his hands and tramped down the stone stairs singing out of tune with a cockney accent
"     _O, won't we have a merry time,      Drinking whisky, beer and wine!      On coronation,      Coronation day!      O, won't we have a merry time      On coronation day!_", o wont we have a merry time drinking whisky beer and wine on coronation coronation day o wont we have a merry time on coronation day
" Warm sunshine merrying over the sea. The nickel shavingbowl shone, forgotten, on the parapet. Why should I bring it down? Or leave it there all day, forgotten friendship?", warm sunshine merrying over the sea the nickel shavingbowl shone forgotten on the parapet why should i bring it down or leave it there all day forgotten friendship
"He went over to it, held it in his hands awhile, feeling its coolness, smelling the clammy slaver of the lather in which the brush was stuck. So I carried the boat of incense then at Clongowes. I am another now and yet the same. A servant too. A server of a servant.",he went over to it held it in his hands awhile feeling its coolness smelling the clammy slaver of the lather in which the brush was stuck so i carried the boat of incense then at clongowes i am another now and yet the same a servant too a server of a servant
"In the gloomy domed livingroom of the tower Buck Mulligan's gowned form moved briskly to and fro about the hearth, hiding and revealing its yellow glow. Two shafts of soft daylight fell across the flagged floor from the high barbacans: and at the meeting of their rays a cloud of coalsmoke and fumes of fried grease floated, turning.",in the gloomy domed livingroom of the tower buck mulligans gowned form moved briskly to and fro about the hearth hiding and revealing its yellow glow two shafts of soft daylight fell across the flagged floor from the high barbacans and at the meeting of their rays a cloud of coalsmoke and fumes of fried grease floated turning
"--We'll be choked, Buck Mulligan said. Haines, open that door, will you?",well be choked buck mulligan said haines open that door will you
"Stephen laid the shavingbowl on the locker. A tall figure rose from the hammock where it had been sitting, went to the doorway and pulled open the inner doors.",stephen laid the shavingbowl on the locker a tall figure rose from the hammock where it had been sitting went to the doorway and pulled open the inner doors
--Have you the key? a voice asked.,have you the key a voice asked
"--Dedalus has it, Buck Mulligan said. Janey Mack, I'm choked!",dedalus has it buck mulligan said janey mack im choked
"He howled, without looking up from the fire:",he howled without looking up from the fire
--Kinch!,kinch
"--It's in the lock, Stephen said, coming forward.",its in the lock stephen said coming forward
"The key scraped round harshly twice and, when the heavy door had been set ajar, welcome light and bright air entered. Haines stood at the doorway, looking out. Stephen haled his upended valise to the table and sat down to wait. Buck Mulligan tossed the fry on to the dish beside him. Then he carried the dish and a large teapot over to the table, set them down heavily and sighed with relief.",the key scraped round harshly twice and when the heavy door had been set ajar welcome light and bright air entered haines stood at the doorway looking out stephen haled his upended valise to the table and sat down to wait buck mulligan tossed the fry on to the dish beside him then he carried the dish and a large teapot over to the table set them down heavily and sighed with relief
"--I'm melting, he said, as the candle remarked when... But, hush! Not a word more on that subject! Kinch, wake up! Bread, butter, honey. Haines, come in. The grub is ready. Bless us, O Lord, and these thy gifts. Where's the sugar? O, jay, there's no milk.",im melting he said as the candle remarked when but hush not a word more on that subject kinch wake up bread butter honey haines come in the grub is ready bless us o lord and these thy gifts wheres the sugar o jay theres no milk
Stephen fetched the loaf and the pot of honey and the buttercooler from the locker. Buck Mulligan sat down in a sudden pet.,stephen fetched the loaf and the pot of honey and the buttercooler from the locker buck mulligan sat down in a sudden pet
--What sort of a kip is this? he said. I told her to come after eight.,what sort of a kip is this he said i told her to come after eight
"--We can drink it black, Stephen said thirstily. There's a lemon in the locker.",we can drink it black stephen said thirstily theres a lemon in the locker
"--O, damn you and your Paris fads! Buck Mulligan said. I want Sandycove milk.",o damn you and your paris fads buck mulligan said i want sandycove milk
Haines came in from the doorway and said quietly:,haines came in from the doorway and said quietly
--That woman is coming up with the milk.,that woman is coming up with the milk
"--The blessings of God on you! Buck Mulligan cried, jumping up from his chair. Sit down. Pour out the tea there. The sugar is in the bag. Here, I can't go fumbling at the damned eggs.",the blessings of god on you buck mulligan cried jumping up from his chair sit down pour out the tea there the sugar is in the bag here i cant go fumbling at the damned eggs
"He hacked through the fry on the dish and slapped it out on three plates, saying:",he hacked through the fry on the dish and slapped it out on three plates saying
--_In nomine Patris et Filii et Spiritus Sancti._,in nomine patris et filii et spiritus sancti
Haines sat down to pour out the tea.,haines sat down to pour out the tea
"--I'm giving you two lumps each, he said. But, I say, Mulligan, you do make strong tea, don't you?",im giving you two lumps each he said but i say mulligan you do make strong tea dont you
"Buck Mulligan, hewing thick slices from the loaf, said in an old woman's wheedling voice:",buck mulligan hewing thick slices from the loaf said in an old womans wheedling voice
"--When I makes tea I makes tea, as old mother Grogan said. And when I makes water I makes water.",when i makes tea i makes tea as old mother grogan said and when i makes water i makes water
"--By Jove, it is tea, Haines said.",by jove it is tea haines said
Buck Mulligan went on hewing and wheedling:,buck mulligan went on hewing and wheedling
"--_So I do, Mrs Cahill,_ says she. _Begob, ma'am,_ says Mrs Cahill, _God send you don't make them in the one pot._",so i do mrs cahill says she begob maam says mrs cahill god send you dont make them in the one pot
"He lunged towards his messmates in turn a thick slice of bread, impaled on his knife.",he lunged towards his messmates in turn a thick slice of bread impaled on his knife
